Quality_Category,density,pH,sulphates,alcohol
Low,1.001,3,0.45,8.8
Low,0.994,3,0.49,9.5
Low,0.995,3,0.44,10.1
Low,0.996,3,0.4,9.9
Low,0.996,3,0.4,9.9
Low,0.995,3,0.44,10.1
Low,0.995,3,0.47,9.6
Low,1.001,3,0.45,8.8
Low,0.994,3,0.49,9.5
Low,0.994,3,0.45,11
Low,0.991,3,0.56,12
Low,0.995,3,0.53,9.7
Low,0.992,3,0.63,10.8
High,0.991,4,0.52,12.4
Low,1,3,0.67,9.7
High,0.991,3,0.55,11.4
Low,0.993,3,0.36,9.6
High,0.989,3,0.39,12.8
Low,0.992,3,0.53,11.3
Low,0.996,3,0.5,9.5
High,0.989,3,0.39,12.8
High,0.991,3,0.35,11
High,0.993,3,0.48,10.5
Low,0.994,3,0.51,9.3
Low,0.995,3,0.47,10
Low,0.996,3,0.5,10.4
Low,0.993,3,0.44,10
Low,0.996,3,0.53,10.5
Low,0.991,3,0.49,11.6
High,0.991,3,0.71,12.3
Low,0.997,3,0.53,10
Low,0.993,3,0.4,10.2
Low,0.992,3,0.44,10.8
Low,0.994,3,0.51,9
Low,0.996,3,0.37,10.2
Low,0.991,3,0.42,12.8
Low,0.993,3,0.35,10
Low,0.991,3,0.28,11.2
Low,1,3,0.36,8.6
Low,1,3,0.36,8.6
Low,0.994,3,0.36,9.4
Low,0.994,3,0.34,9.4
Low,0.995,3,0.46,9.8
Low,0.993,3,0.56,9.5
Low,0.993,3,0.56,9.5
High,0.993,3,0.53,10
Low,0.994,3,0.52,9.8
Low,0.994,3,0.52,9.8
Low,0.995,3,0.46,9.8
Low,0.995,3,0.48,9.8
Low,0.992,3,0.44,11.7
High,0.991,3,0.58,11
High,0.991,3,0.46,10.9
Low,0.991,3,0.35,10.9
Low,0.993,3,0.38,9.1
Low,0.991,3,0.52,11
Low,0.996,3,0.5,9.6
Low,0.997,3,0.36,8.9
Low,0.993,3,0.38,10.2
Low,0.993,3,0.34,9.9
Low,0.995,3,0.46,8.6
Low,0.997,3,0.36,8.9
Low,0.991,3,0.34,10.5
Low,0.993,3,0.38,10.2
Low,0.993,3,0.46,10.3
Low,0.993,3,0.54,9.1
High,0.99,3,0.49,12.6
Low,0.992,3,0.42,9.8
High,0.993,3,0.64,10.7
Low,0.996,3,0.35,9.5
Low,0.996,3,0.51,9
Low,0.996,3,0.6,9.5
Low,0.996,4,0.71,10
Low,0.994,3,0.49,9.1
High,0.993,3,0.64,10.7
Low,0.996,3,0.35,9.5
High,0.99,3,0.37,12.7
High,0.991,3,0.65,12
Low,0.996,3,0.56,9.3
Low,0.995,3,0.37,9
Low,0.993,3,0.77,10.6
Low,0.999,3,0.6,9.2
Low,0.995,3,0.42,10
Low,0.997,3,0.46,9.5
Low,0.997,3,0.45,8.7
Low,0.998,3,0.46,8.7
Low,0.997,3,0.44,8.7
Low,0.997,3,0.48,9.7
Low,0.997,3,0.45,8.7
Low,0.998,3,0.46,8.7
Low,0.997,3,0.44,8.7
Low,0.996,3,0.47,9
High,0.99,3,0.4,12.6
High,0.99,3,0.41,12.6
High,0.992,3,0.44,11.5
Low,0.997,3,0.42,9.2
Low,0.998,3,0.5,8.8
High,0.991,3,0.36,11.4
Low,0.996,3,0.3,10.1
Low,0.998,3,0.5,8.8
Low,0.998,3,0.44,9.1
Low,0.996,3,0.41,9.4
Low,0.997,3,0.39,9.4
Low,1,3,0.46,9
Low,0.998,3,0.44,9.1
Low,0.997,3,0.35,9.2
Low,0.996,3,0.41,9.4
Low,0.999,3,0.59,9.1
Low,0.999,3,0.59,9.1
Low,0.993,3,0.6,10.3
Low,0.996,3,0.39,8.8
Low,1,3,0.52,8.9
Low,0.998,3,0.47,9.2
Low,0.997,3,0.51,9.1
Low,0.997,3,0.51,9.1
Low,0.994,4,0.4,9.7
Low,0.991,3,0.44,11.3
Low,0.991,3,0.42,11.8
Low,0.998,3,0.47,9.2
Low,0.998,3,0.5,9.2
Low,0.993,3,0.51,10.2
Low,0.998,3,0.54,8.8
Low,0.995,3,0.34,9.7
Low,0.995,3,0.36,9.1
Low,0.993,3,0.36,9.8
Low,0.991,3,0.48,11
Low,0.994,3,0.42,10.5
High,0.996,3,0.54,9.7
High,0.992,3,0.57,10.9
Low,0.992,3,0.57,10.9
Low,0.994,3,0.37,10.6
High,0.996,3,0.54,9.7
Low,0.998,3,0.57,9
Low,0.998,3,0.51,9.2
Low,0.996,3,0.52,8.9
Low,0.998,3,0.56,9.6
Low,0.992,3,0.38,10.7
Low,0.998,3,0.44,8.7
High,0.992,3,0.54,10.8
Low,0.992,3,0.52,11.8
Low,0.993,3,0.43,10.2
Low,0.998,3,0.44,8.7
Low,0.992,3,0.54,10.8
Low,0.995,3,0.53,9.7
Low,0.992,3,0.54,11.2
Low,0.991,3,0.39,10.9
Low,0.992,3,0.37,10.1
Low,0.995,3,0.36,9
High,0.992,3,0.58,12
Low,0.994,3,0.38,9.4
High,0.993,3,0.32,11.5
Low,0.997,3,0.43,9.9
Low,0.994,3,0.38,9.4
Low,0.992,3,0.45,10.4
Low,0.997,3,0.84,9.7
Low,0.998,3,0.42,8.9
Low,0.998,3,0.42,8.9
High,0.99,3,0.42,12.4
High,0.989,3,0.33,12.1
High,0.989,3,0.33,12.1
High,0.99,3,0.42,12.4
Low,0.998,3,0.4,9.1
Low,0.993,3,0.39,10.6
Low,0.998,3,0.42,8.9
Low,0.997,3,0.5,9.5
Low,0.997,3,0.49,9.8
Low,0.997,3,0.59,9.6
High,0.99,3,0.44,12.6
Low,0.997,3,0.54,9.3
Low,0.996,3,0.29,10
Low,0.991,3,0.54,12.7
Low,0.992,3,0.39,11
Low,0.99,3,0.39,11.4
High,0.992,3,0.33,11.5
Low,0.999,3,0.64,10.2
Low,0.993,3,0.27,11.4
Low,0.991,3,0.41,12.6
Low,0.997,3,0.39,9.4
Low,0.993,3,0.35,8.7
Low,0.995,3,0.68,9.2
Low,0.995,3,0.66,9.3
Low,0.994,3,0.43,9.2
Low,1.001,3,0.5,8.7
Low,0.998,3,0.58,9.6
Low,0.997,3,0.63,9.3
Low,0.997,3,0.63,9.3
Low,0.995,3,0.61,9.9
Low,0.992,3,0.5,11
High,0.991,3,0.57,12.7
Low,0.996,3,0.54,8.9
Low,0.996,3,0.55,8.9
Low,1.001,3,0.5,8.7
Low,0.993,3,0.37,11.4
Low,0.994,3,0.42,9.6
Low,0.994,3,0.41,9.1
Low,0.994,3,0.39,9.1
Low,0.994,3,0.38,9.1
Low,0.996,3,0.47,8.9
Low,0.998,3,0.49,8.8
Low,0.996,3,0.47,8.9
Low,0.998,3,0.5,9.3
Low,0.998,3,0.49,8.8
Low,0.997,3,0.5,9.6
Low,0.995,3,0.53,12
Low,0.992,3,0.5,10.2
Low,0.997,3,0.43,8.8
Low,0.996,3,0.34,9.2
Low,0.997,3,0.51,9.9
Low,0.994,3,0.74,10.2
Low,0.993,3,0.77,9.5
Low,0.994,3,0.34,10.5
High,0.992,3,0.59,11.2
Low,0.996,3,0.34,9.2
Low,0.994,3,0.37,9.7
High,0.991,3,0.44,11.1
Low,0.996,3,0.38,9.4
Low,0.994,3,0.33,11
Low,0.996,3,0.38,9.4
Low,0.999,3,0.44,9.4
Low,0.994,3,0.32,11
Low,0.994,3,0.33,11
Low,0.997,3,0.55,9.1
High,0.991,3,0.44,11.1
Low,0.994,3,0.39,9.1
Low,0.993,3,0.54,10.4
Low,1,3,0.39,8.7
Low,0.994,4,0.5,9.7
Low,0.997,3,0.52,9.1
Low,0.994,4,0.5,9.7
Low,1,3,0.39,8.7
Low,0.997,3,0.46,8.9
Low,0.998,3,0.51,9.6
Low,0.998,3,0.51,9.5
Low,0.998,3,0.44,9
Low,0.998,3,0.44,9
Low,0.998,3,0.44,9
Low,0.998,3,0.44,9
Low,0.997,3,0.5,9.6
High,0.992,3,0.41,11.1
Low,0.998,3,0.64,9.6
Low,0.999,3,0.46,8.7
Low,0.994,3,0.5,10.4
High,0.99,3,0.38,11.4
Low,0.993,3,0.58,9.7
Low,0.998,3,0.46,8.7
Low,0.992,3,0.79,11.3
High,0.99,3,0.61,12.6
High,0.991,3,0.36,10.9
High,0.991,3,0.37,10.9
Low,0.996,3,0.45,10
Low,0.996,4,0.7,10
Low,0.998,3,0.5,9.8
Low,0.998,3,0.46,8.7
Low,0.991,4,0.43,11.7
Low,0.993,3,0.52,9.3
High,0.994,3,0.58,9.6
High,0.993,3,0.41,11
High,0.993,3,0.41,11
Low,0.991,3,0.5,11.8
Low,0.99,3,0.34,11.4
Low,0.994,3,0.42,10.2
Low,1,3,0.47,8.9
Low,0.994,3,0.33,10.2
Low,0.998,3,0.59,9.6
Low,0.991,3,0.48,10.6
Low,1,3,0.47,8.9
Low,0.997,3,0.51,9.2
Low,0.994,3,0.57,9.7
Low,0.995,3,0.57,9.7
Low,0.994,3,0.57,9.7
Low,0.997,3,0.51,9.2
Low,0.994,3,0.58,9.7
Low,0.997,3,0.38,9.3
Low,0.995,3,0.38,9
Low,0.997,3,0.61,9.5
Low,0.995,3,0.57,9.8
Low,0.995,3,0.58,9.8
Low,0.992,3,0.5,10.6
Low,0.992,3,0.47,10.6
High,0.992,3,0.68,12.4
High,0.99,3,0.38,12.6
High,0.991,3,0.6,12.3
Low,0.994,3,0.65,10.5
Low,0.998,3,0.49,9.3
Low,0.999,3,0.49,8.8
Low,0.996,3,0.47,8.8
Low,0.998,3,0.51,9.7
High,0.998,3,0.48,9
High,0.998,3,0.48,9
High,0.998,3,0.48,9
High,0.998,3,0.48,9
Low,0.995,4,0.46,10.5
Low,1,3,0.44,9.1
High,0.996,3,0.64,9.8
Low,0.997,3,0.38,8.5
Low,0.993,3,0.54,9.4
Low,0.998,3,0.57,9.4
High,0.993,3,0.6,11.2
